Categoria;Observación o Termino;Definición ecológica;Variable asociada;Variable secundaria;Regla cuantitativa;Interpretación

Olor;Olor a pantano;Presencia de suelo húmedo materia orgánica acumulada y posible baja oxigenación.;Flujo de CH4;Nivel del agua en cm o humedad relativa RH;Flujo de CH4 ≥ 0.0188 µmol/m²/s + Nivel del agua en cm  ≥ 4 cm o Humedad relativa RH ≥ 74%;Puede indicar zona saturada con emisión importante de metano.


Olor;Olor a huevo podrido / podrido;Descomposición en condiciones anaerobias posiblemente con acumulación de gases.;Flujo de CH4;Nivel del agua en cm o temperatura del suelo;Flujo de CH4 ≥ 0.0735 µmol/m²/s + Nivel del agua en cm  ≥ 8 cm;Sugiere punto muy activo en producción o liberación de gases.

Olor;Olor a tierra mojada;Suelo húmedo reciente saturación o alta humedad ambiental.;Humedad relativa RH;Nivel del agua en cm o punto de rocio;Humedad relativa RH ≥ 74% o Nivel del agua en cm  ≥ 4 cm;Indica humedad alta aunque no necesariamente emisión alta de CH4.

Color;Suelo negro / lodo negro;Suelo con alta materia orgánica y posible saturación prolongada.;Nivel del agua en cm;Flujo de CH4 o flujo de CO2;Nivel del agua en cm ≥ 4 cm + Flujo de CH4≥ 0.0188 µmol/m²/s;Puede representar suelo orgánico saturado con potencial metanogénico.

Color;Agua café / color té;Agua con materia orgánica disuelta o arrastre de compuestos orgánicos.;flujo de CO2;Nivel del agua en cm o vegetacion;Flujo de CO2≥ 3.145 µmol/m²/s o Nivel del agua en cm ≥ 4 cm;Puede relacionarse con descomposición o alta carga orgánica.

Color;Vegetación verde intensa;Vegetación activa probablemente con buena actividad fotosintética.;flujo de CO2;Radiación fotosintéticamente activa PAR inicial o Radiación fotosintéticamente activa PAR final o vegetacion;Radiación fotosintéticamente activa PAR  ≥ 796 y CO2 bajo o negativo por ejemplo CO2 ≤ -0.665 µmol/m²/s;Puede indicar captura de CO2 durante el día.

